short,long,sl,tp,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct
50,250,0,0,7.9,-100,99.98,5774,24.06
40,150,0,0,2.8,-100,99.98,5600,23.33
40,250,0,0.02,1.33,-100,57.26,570,45.3
30,250,0,0,0.91,-100,99.98,5656,23.57
50,250,0.005,0.02,0.83,-98.98,9.94,72,47.96
50,250,0.02,0.02,0.51,-98.91,9.8,70,47.97
10,250,0,0,0.49,-100,99.98,5604,23.35
50,250,0.01,0.02,0.47,-99.05,10.09,72,47.96
50,250,0,0.02,0.43,-100,56.4,554,45.91
40,250,0.02,0.005,0.11,-99.88,14.19,102,47.3
40,250,0,0.01,0.09,-100,66.68,732,44.62
50,250,0,0.01,0.06,-100,65.25,704,45.28
50,250,0.005,0.005,-0.02,-99.97,16.78,122,47.75
40,250,0.005,0.005,-0.03,-99.95,16.04,116,47.23
40,250,0.01,0.005,-0.03,-99.9,14.51,104,47.29
50,250,0.01,0.01,-0.42,-99.39,11,76,47.94
50,250,0.02,0.01,-0.42,-99.39,11,76,47.94
10,250,0,0.02,-0.48,-100,56.84,558,44.48
40,250,0.005,0.02,-0.51,-99.54,11.57,80,47.39
50,200,0.005,0.005,-0.7,-99.98,17.55,126,46.68
10,250,0,0.01,-0.71,-100,65.68,710,43.83
40,250,0.01,0.01,-0.71,-99.62,11.92,82,47.38
40,250,0.02,0.01,-0.71,-99.62,11.92,82,47.38
50,250,0.005,0.01,-0.74,-99.62,11.93,82,47.92
50,250,0.02,0.005,-0.74,-99.85,13.76,96,47.86
30,250,0,0.02,-0.8,-100,57.55,568,44.87
40,250,0.02,0.02,-0.8,-99.44,11.16,76,47.41
40,250,0,0.005,-0.87,-100,76.08,950,43.71
50,250,0.01,0.005,-0.88,-99.87,14.08,98,47.85
50,250,0,0.005,-0.93,-100,76.65,966,44.19
40,250,0.01,0.02,-0.94,-99.52,11.49,78,47.4
50,200,0.01,0.005,-0.99,-99.96,16.16,114,46.74
20,250,0.005,0.005,-1.01,-99.99,19.86,144,46.48
20,250,0.01,0.005,-1.02,-99.99,19.14,138,46.51
10,250,0.005,0.005,-1.03,-100,23.39,174,46.25
40,250,0.005,0.01,-1.03,-99.76,12.84,88,47.36
50,250,0.02,0,-1.07,-100,79.49,1052,43.88
50,250,0.01,0,-1.19,-100,79.87,1064,43.82
50,200,0.02,0.005,-1.23,-99.95,16.01,112,46.75
20,250,0.02,0.005,-1.27,-99.99,18.99,136,46.52
10,250,0.02,0.005,-1.29,-100,22.79,168,46.28
10,250,0,0.005,-1.36,-100,76.27,954,42.82
10,250,0.01,0.005,-1.42,-100,23.08,170,46.27
50,200,0,0.02,-1.47,-100,62.36,646,44.42
50,150,0,0.01,-1.59,-100,70.93,818,43.46
50,200,0.005,0.02,-1.65,-99.79,13.1,88,46.85
