fast,slow,signal,rsi,oversold,overbought,regime,sl,tp,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct
8,50,9,14,30,70,1,0,0.01,10.13,-10.36,0.25,2,0.03
8,50,9,14,30,70,1,0.01,0.01,10.13,-10.36,0.25,2,0.03
8,50,9,14,30,75,1,0,0.01,10.13,-10.36,0.25,2,0.04
8,50,9,14,30,75,1,0.01,0.01,10.13,-10.36,0.25,2,0.04
12,26,9,14,30,70,1,0,0.01,10.13,-10.36,0.25,2,0.03
12,26,9,14,30,70,1,0.01,0.01,10.13,-10.36,0.25,2,0.03
12,26,9,14,30,75,1,0,0.01,10.13,-10.36,0.25,2,0.04
12,26,9,14,30,75,1,0.01,0.01,10.13,-10.36,0.25,2,0.04
8,26,9,14,30,70,1,0,0.01,8.76,-21.62,0.55,4,0.04
8,26,9,14,30,70,1,0.01,0.01,8.76,-21.62,0.55,4,0.04
8,26,9,14,30,75,1,0,0.01,8.76,-21.62,0.55,4,0.05
8,26,9,14,30,75,1,0.01,0.01,8.76,-21.62,0.55,4,0.05
8,50,9,14,30,70,1,0,0,6.62,-12.08,0.29,2,0.01
8,50,9,14,30,70,1,0.01,0,6.62,-12.08,0.29,2,0.01
8,50,9,14,30,75,1,0,0,6.62,-12.08,0.29,2,0.01
8,50,9,14,30,75,1,0.01,0,6.62,-12.08,0.29,2,0.01
12,26,9,14,30,70,1,0,0,6.62,-12.08,0.29,2,0.01
12,26,9,14,30,70,1,0.01,0,6.62,-12.08,0.29,2,0.01
12,26,9,14,30,75,1,0,0,6.62,-12.08,0.29,2,0.01
12,26,9,14,30,75,1,0.01,0,6.62,-12.08,0.29,2,0.01
12,50,9,14,30,70,0,0.01,0.01,4.76,-72.88,3.12,22,0.65
8,26,9,14,30,70,0,0,0,4.23,-99.9,14.51,106,0.44
8,26,9,14,30,75,0,0,0,4.23,-99.9,14.51,106,0.44
12,50,9,14,30,70,0,0.01,0,3.61,-78.11,3.41,24,0.19
12,50,9,14,30,75,0,0.01,0,3.61,-78.11,3.41,24,0.19
8,50,9,14,25,70,0,0,0,3.37,-40.43,1.18,8,0.03
8,50,9,14,25,70,0,0.01,0,3.37,-40.43,1.18,8,0.03
8,50,9,14,25,75,0,0,0,3.37,-40.43,1.18,8,0.03
8,50,9,14,25,75,0,0.01,0,3.37,-40.43,1.18,8,0.03
12,26,9,14,25,70,0,0,0,3.12,-59.53,2.04,14,0.06
12,26,9,14,25,75,0,0,0,3.12,-59.53,2.04,14,0.06
12,50,9,14,30,75,0,0.01,0.01,2.98,-74.23,3.24,22,0.73
12,26,9,14,25,70,0,0.01,0,0.48,-60.06,2.07,14,0.07
12,26,9,14,25,75,0,0.01,0,0.48,-60.06,2.07,14,0.07
8,26,9,14,30,70,0,0.01,0,0.15,-99.79,13.15,94,0.65
8,26,9,14,30,75,0,0.01,0,0.15,-99.79,13.15,94,0.65
8,26,9,14,30,70,1,0,0,0.11,-23.12,0.6,4,0.02
8,26,9,14,30,70,1,0.01,0,0.11,-23.12,0.6,4,0.02
8,26,9,14,30,75,1,0,0,0.11,-23.12,0.6,4,0.02
8,26,9,14,30,75,1,0.01,0,0.11,-23.12,0.6,4,0.02
8,26,9,14,25,70,1,0,0,0,0,0,0,0
8,26,9,14,25,70,1,0,0.01,0,0,0,0,0
8,26,9,14,25,70,1,0.01,0,0,0,0,0,0
8,26,9,14,25,70,1,0.01,0.01,0,0,0,0,0
8,26,9,14,25,75,1,0,0,0,0,0,0,0
8,26,9,14,25,75,1,0,0.01,0,0,0,0,0
8,26,9,14,25,75,1,0.01,0,0,0,0,0,0
8,26,9,14,25,75,1,0.01,0.01,0,0,0,0,0
8,50,9,14,25,70,1,0,0,0,0,0,0,0
8,50,9,14,25,70,1,0,0.01,0,0,0,0,0
8,50,9,14,25,70,1,0.01,0,0,0,0,0,0
8,50,9,14,25,70,1,0.01,0.01,0,0,0,0,0
8,50,9,14,25,75,1,0,0,0,0,0,0,0
8,50,9,14,25,75,1,0,0.01,0,0,0,0,0
