oversold,overbought,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct
10,75,9.42,8.01,0.41,4,2.13
10,70,8.63,3.33,0.41,4,1.6
10,65,8.17,-0.65,0.41,4,1.09
10,60,6.71,-5.56,0.41,4,0.97
15,65,4.4,-55.56,2.58,20,5.71
35,70,2.73,-99.98,17.72,141,65.44
15,60,2.68,-63.99,2.8,20,4.91
20,60,2,-89.41,5.41,38,9.33
35,65,0.59,-100,24.05,185,54.46
30,65,0.27,-99.98,17.86,129,41.19
40,70,0.03,-100,20.36,151,73.96
35,60,-0.09,-100,28.77,225,43.93
10,80,-0.12,-25.24,2.82,4,21.88
30,70,-0.23,-99.91,15.32,105,54.13
20,65,-0.78,-91.76,6.07,36,13.67
30,60,-1.6,-100,20.61,147,32.16
40,65,-1.76,-100,28.47,215,63.4
25,60,-1.93,-99.79,13.73,88,19.14
35,75,-2.49,-99.53,11.69,69,82.47
40,75,-2.6,-99.66,12.34,73,87.28
15,70,-2.95,-80.67,4.46,18,10.95
40,60,-3.61,-100,36.08,283,52.48
10,90,-3.76,-76.65,7.79,3,86.21
25,65,-4.26,-99.8,14,80,28.94
15,90,-4.28,-80.28,7.97,3,86.22
30,75,-4.37,-99.47,11.45,59,75.98
10,85,-4.46,-80.78,8.19,3,71.08
15,85,-4.84,-85.15,8.57,5,76.45
20,70,-5.12,-95.21,7.4,32,19.16
20,90,-5.12,-85.1,8.43,3,89.26
20,85,-5.53,-88.37,8.95,5,85.36
35,80,-5.53,-97.68,9.76,29,92.67
25,70,-6.1,-99.74,13.54,68,39.56
30,80,-6.2,-97.77,9.08,27,89.38
25,85,-6.64,-93.64,8.58,7,95.36
15,75,-6.9,-91.11,5.62,15,26.79
40,80,-6.92,-98.56,9.98,29,94.14
25,90,-6.95,-92.61,8.27,3,98.28
25,75,-7.2,-99.3,11.19,45,59.18
30,85,-7.76,-95.67,8.8,7,96.29
30,90,-7.81,-94.51,8.3,3,98.74
35,90,-7.95,-94.76,8.32,3,98.78
40,90,-7.98,-94.81,8.34,3,99.28
35,85,-8.03,-96.05,8.91,7,97.38
40,85,-8.19,-96.26,9.02,7,97.92
15,80,-8.5,-95.18,7.02,11,57.27
25,80,-9.09,-98.58,9.73,23,77.74
20,80,-9.73,-97.43,8.21,15,62.04
20,75,-10.04,-97.74,8.75,23,36.93
