short,long,vol_target,atr_win,k,sl,tp,cooldown,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct,avg_pos_size
5,40,0.2,14,1,1ATR,3ATR,5,-1.63,-100,71.98,844,38.79,0.322
5,40,0.2,14,1,2ATR,3ATR,5,-1.68,-100,69.99,798,40.24,0.338
5,50,0.2,14,1,2ATR,2ATR,5,-1.71,-100,75.3,928,36,0.304
5,40,0.2,14,1,2ATR,2ATR,5,-1.74,-100,76.25,954,36.78,0.309
5,40,0.18,14,1,2ATR,2ATR,5,-1.82,-100,76.25,954,36.78,0.293
5,40,0.2,21,1,1ATR,3ATR,5,-1.88,-100,72.09,846,38.67,0.324
5,40,0.18,14,1,1ATR,3ATR,5,-2,-100,72,844,38.79,0.305
5,40,0.18,14,1,2ATR,3ATR,5,-2.08,-100,70.01,798,40.24,0.321
5,40,0.18,14,1,1ATR,2ATR,5,-2.11,-100,79.01,1036,34.33,0.272
5,50,0.18,14,1,2ATR,2ATR,5,-2.11,-100,75.32,928,36,0.288
5,40,0.2,14,1,1ATR,2ATR,5,-2.14,-100,79.02,1036,34.33,0.287
5,40,0.15,14,1,2ATR,2ATR,5,-2.26,-100,76.26,954,36.78,0.264
5,40,0.2,14,0.5,1ATR,2ATR,5,-2.31,-100,78.97,1036,34.33,0.183
5,40,0.15,14,1,1ATR,2ATR,5,-2.39,-100,79.01,1036,34.33,0.245
5,40,0.12,14,1,1ATR,2ATR,5,-2.4,-100,78.99,1036,34.33,0.21
5,40,0.18,14,0.5,1ATR,2ATR,5,-2.44,-100,78.97,1036,34.33,0.167
5,40,0.18,21,1,1ATR,3ATR,5,-2.46,-100,72.13,846,38.67,0.307
5,40,0.2,14,1,1ATR,2ATR,0,-2.57,-100,87.29,1368,44.58,0.373
15,50,0.2,14,1,2ATR,3ATR,5,-2.57,-100,55.52,534,42.25,0.353
5,50,0.2,14,1,2ATR,3ATR,5,-2.61,-100,67.94,752,39.8,0.336
5,40,0.12,14,1,2ATR,2ATR,5,-2.62,-100,76.25,954,36.78,0.229
5,50,0.2,21,1,2ATR,3ATR,5,-2.62,-100,68.23,758,39.9,0.338
5,40,0.18,14,1,1ATR,2ATR,0,-2.69,-100,87.28,1368,44.58,0.355
5,50,0.15,14,1,2ATR,2ATR,5,-2.77,-100,75.34,928,36,0.26
10,40,0.2,21,1,2ATR,2ATR,5,-2.8,-100,68.99,774,38.67,0.327
15,40,0.2,14,1,2ATR,3ATR,5,-2.8,-100,57.39,562,42.27,0.359
5,50,0.18,14,1,2ATR,3ATR,5,-2.81,-100,67.94,752,39.8,0.32
5,40,0.12,14,0.5,1ATR,2ATR,5,-2.82,-100,78.95,1036,34.33,0.116
5,40,0.15,14,0.5,1ATR,2ATR,5,-2.82,-100,78.96,1036,34.33,0.143
15,50,0.18,14,1,2ATR,3ATR,5,-2.96,-100,55.55,534,42.25,0.335
5,40,0.2,14,0.5,2ATR,2ATR,5,-2.98,-100,76.25,954,36.78,0.199
5,40,0.2,21,1,1ATR,2ATR,5,-3.05,-100,78.83,1028,34.33,0.289
5,40,0.2,21,1,2ATR,2ATR,5,-3.05,-100,76.28,952,36.84,0.312
5,40,0.18,21,1,1ATR,2ATR,5,-3.07,-100,78.82,1028,34.33,0.275
5,80,0.2,14,1,2ATR,2ATR,5,-3.07,-100,73.01,866,35.99,0.306
5,50,0.18,21,1,2ATR,3ATR,5,-3.14,-100,68.26,758,39.9,0.321
5,40,0.15,14,1,1ATR,2ATR,0,-3.18,-100,87.29,1368,44.58,0.319
5,40,0.18,14,0.5,2ATR,2ATR,5,-3.22,-100,76.25,954,36.78,0.182
5,40,0.18,21,1,2ATR,2ATR,5,-3.23,-100,76.28,952,36.84,0.296
5,40,0.15,14,1,2ATR,3ATR,5,-3.24,-100,70.08,798,40.24,0.288
5,40,0.2,21,1,2ATR,3ATR,5,-3.27,-100,69.7,788,40.41,0.341
15,40,0.18,14,1,2ATR,3ATR,5,-3.29,-100,57.43,562,42.27,0.341
5,40,0.12,14,1,1ATR,2ATR,0,-3.31,-100,87.27,1368,44.58,0.274
5,50,0.2,21,1,1ATR,3ATR,5,-3.31,-100,71.8,836,37.7,0.318
5,40,0.15,14,1,1ATR,3ATR,5,-3.32,-100,72.07,844,38.79,0.274
5,50,0.2,14,1,1ATR,2ATR,5,-3.32,-100,78.97,1032,33.39,0.281
5,40,0.2,21,1,2ATR,3ATR,0,-3.34,-100,76.12,946,46.58,0.391
10,80,0.2,14,1,1ATR,2ATR,5,-3.36,-100,69.41,782,35.95,0.306
5,50,0.12,14,1,2ATR,2ATR,5,-3.41,-100,75.35,928,36,0.225
5,40,0.18,21,1,2ATR,3ATR,0,-3.47,-100,76.11,946,46.58,0.373
5,40,0.2,21,1,1ATR,2ATR,0,-3.5,-100,87.17,1360,44.59,0.375
10,40,0.18,21,1,2ATR,2ATR,5,-3.5,-100,69.04,774,38.67,0.312
5,50,0.2,14,1,1ATR,3ATR,5,-3.52,-100,70.78,812,38.14,0.318
5,50,0.18,14,1,1ATR,2ATR,5,-3.54,-100,78.97,1032,33.39,0.267
15,50,0.2,21,1,2ATR,3ATR,5,-3.62,-100,55.68,534,42.34,0.358
5,40,0.2,14,0.5,2ATR,3ATR,5,-3.69,-100,70.03,798,40.24,0.214
5,50,0.15,14,1,2ATR,3ATR,5,-3.69,-100,67.98,752,39.8,0.288
5,80,0.18,14,1,2ATR,2ATR,5,-3.69,-100,73.04,866,35.99,0.29
5,40,0.18,21,1,1ATR,2ATR,0,-3.7,-100,87.17,1360,44.59,0.357
10,40,0.2,14,1,2ATR,2ATR,5,-3.7,-100,69.08,774,38.52,0.326
5,40,0.12,14,1,2ATR,3ATR,5,-3.72,-100,70.07,798,40.24,0.247
5,40,0.15,14,0.5,2ATR,2ATR,5,-3.72,-100,76.24,954,36.78,0.155
5,50,0.2,14,1,1ATR,2ATR,0,-3.72,-100,87.41,1372,43.98,0.369
5,50,0.18,14,1,1ATR,2ATR,0,-3.73,-100,87.4,1372,43.98,0.352
5,50,0.2,21,1,2ATR,2ATR,5,-3.75,-100,75.09,918,36.33,0.308
15,50,0.15,14,1,2ATR,3ATR,5,-3.78,-100,55.6,534,42.25,0.303
5,40,0.18,14,0.5,2ATR,3ATR,5,-3.79,-100,70.01,798,40.24,0.195
5,40,0.18,21,1,2ATR,3ATR,5,-3.79,-100,69.72,788,40.41,0.323
5,40,0.2,21,0.5,2ATR,3ATR,0,-3.79,-100,76.02,946,46.58,0.249
5,50,0.18,14,1,1ATR,3ATR,5,-3.8,-100,70.78,812,38.14,0.303
5,40,0.2,14,0.5,1ATR,2ATR,0,-3.81,-100,87.27,1368,44.58,0.239
5,40,0.12,21,1,2ATR,3ATR,0,-3.83,-100,76.05,946,46.58,0.288
5,40,0.15,21,1,1ATR,2ATR,5,-3.88,-100,78.83,1028,34.33,0.248
5,50,0.15,14,1,1ATR,2ATR,5,-3.9,-100,78.96,1032,33.39,0.241
10,80,0.18,14,1,1ATR,2ATR,5,-3.9,-100,69.43,782,35.95,0.291
5,40,0.15,21,1,2ATR,3ATR,0,-3.91,-100,76.11,946,46.58,0.336
5,40,0.15,21,1,1ATR,3ATR,5,-3.92,-100,72.21,846,38.67,0.276
5,40,0.18,21,0.5,2ATR,3ATR,0,-3.92,-100,76.01,946,46.58,0.228
5,40,0.12,14,0.5,2ATR,2ATR,5,-4.01,-100,76.23,954,36.78,0.126
5,50,0.18,21,1,1ATR,3ATR,5,-4.02,-100,71.83,836,37.7,0.302
15,50,0.18,21,1,2ATR,3ATR,5,-4.02,-100,55.7,534,42.34,0.34
5,40,0.12,21,0.5,2ATR,3ATR,0,-4.03,-100,75.95,946,46.58,0.158
5,50,0.2,14,0.5,2ATR,2ATR,5,-4.03,-100,75.35,928,36,0.196
5,40,0.15,21,0.5,2ATR,3ATR,0,-4.05,-100,75.98,946,46.58,0.194
5,40,0.15,14,0.5,2ATR,3ATR,5,-4.1,-100,70,798,40.24,0.166
10,40,0.2,14,1,1ATR,2ATR,5,-4.1,-100,71.94,838,36.6,0.311
5,40,0.12,14,1,1ATR,3ATR,5,-4.12,-100,72.08,844,38.79,0.234
5,40,0.15,21,1,2ATR,2ATR,5,-4.13,-100,76.3,952,36.84,0.267
5,50,0.15,14,1,1ATR,2ATR,0,-4.14,-100,87.39,1372,43.98,0.317
15,40,0.15,14,1,2ATR,3ATR,5,-4.17,-100,57.48,562,42.27,0.308
5,40,0.2,14,1,2ATR,2ATR,0,-4.18,-100,83.03,1172,45.68,0.384
5,40,0.18,14,1,2ATR,2ATR,0,-4.19,-100,83.02,1172,45.68,0.366
10,40,0.18,21,1,1ATR,2ATR,0,-4.2,-100,79.8,1056,45.06,0.367
5,50,0.18,21,1,2ATR,2ATR,5,-4.21,-100,75.1,918,36.33,0.294
5,50,0.12,14,1,1ATR,2ATR,5,-4.22,-100,78.94,1032,33.39,0.207
5,40,0.2,21,0.5,1ATR,2ATR,5,-4.23,-100,78.79,1028,34.33,0.183
5,40,0.12,21,1,1ATR,2ATR,5,-4.25,-100,78.82,1028,34.33,0.212
5,50,0.12,14,1,2ATR,3ATR,5,-4.25,-100,67.97,752,39.8,0.247
5,40,0.15,14,1,2ATR,2ATR,0,-4.26,-100,82.99,1172,45.68,0.331
5,50,0.18,14,0.5,2ATR,2ATR,5,-4.26,-100,75.34,928,36,0.18
5,40,0.2,14,0.5,1ATR,3ATR,5,-4.27,-100,72.05,844,38.79,0.202
5,50,0.12,14,1,1ATR,2ATR,0,-4.27,-100,87.37,1372,43.98,0.273
10,40,0.12,21,0.5,1ATR,2ATR,0,-4.29,-100,79.62,1056,45.06,0.158
10,40,0.2,21,1,1ATR,2ATR,0,-4.3,-100,79.82,1056,45.06,0.384
15,50,0.12,21,0.5,2ATR,3ATR,5,-4.31,-100,55.37,534,42.34,0.147
5,40,0.18,14,0.5,1ATR,2ATR,0,-4.32,-100,87.27,1368,44.58,0.219
5,50,0.15,21,1,2ATR,3ATR,5,-4.32,-100,68.32,758,39.9,0.29
5,40,0.12,21,0.5,1ATR,2ATR,5,-4.34,-100,78.73,1028,34.33,0.116
5,40,0.18,21,0.5,1ATR,2ATR,5,-4.35,-100,78.77,1028,34.33,0.167
15,50,0.15,21,0.5,2ATR,3ATR,5,-4.35,-100,55.43,534,42.34,0.182
5,40,0.18,14,0.5,1ATR,3ATR,5,-4.38,-100,72.03,844,38.79,0.184
5,40,0.15,21,0.5,1ATR,2ATR,5,-4.39,-100,78.75,1028,34.33,0.143
5,40,0.12,14,0.5,2ATR,3ATR,5,-4.4,-100,69.97,798,40.24,0.135
15,50,0.2,21,1,1ATR,3ATR,5,-4.4,-100,58.73,580,41.11,0.347
