short,long,vol_target,atr_win,k,sl,tp,cooldown,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct,avg_pos_size
5,50,0.2,14,1,1ATR,2ATR,5,5.94,-100,85.88,1314,26.27,0.218
5,50,0.15,14,1,1ATR,2ATR,5,5.6,-100,85.93,1314,26.27,0.188
5,50,0.1,14,1,1ATR,2ATR,5,4.97,-100,85.99,1314,26.27,0.14
5,50,0.2,14,0.5,1ATR,2ATR,5,4.97,-100,85.99,1314,26.27,0.14
5,50,0.15,14,0.5,1ATR,2ATR,5,4.19,-100,86.02,1314,26.27,0.11
5,50,0.1,14,0.5,1ATR,2ATR,5,3.95,-100,86.05,1314,26.27,0.076
5,50,0.2,21,1,1ATR,2ATR,5,2.74,-100,85.78,1304,26.65,0.223
10,150,0.2,21,1,1ATR,2ATR,5,2.51,-100,82.16,1152,24.38,0.205
5,50,0.15,21,1,1ATR,2ATR,5,2,-100,85.82,1304,26.65,0.192
10,150,0.15,21,1,1ATR,2ATR,5,1.6,-100,82.21,1152,24.38,0.177
5,50,0.2,14,1,2ATR,2ATR,5,1.43,-100,80.51,1092,31.8,0.264
5,50,0.1,21,1,1ATR,2ATR,5,1.25,-100,85.85,1304,26.65,0.142
5,50,0.2,21,0.5,1ATR,2ATR,5,1.25,-100,85.85,1304,26.65,0.142
20,50,0.2,21,1,1ATR,2ATR,5,1.18,-100,84.46,1242,25.74,0.218
10,150,0.1,21,1,1ATR,2ATR,5,0.92,-100,82.24,1152,24.38,0.132
10,150,0.2,21,0.5,1ATR,2ATR,5,0.92,-100,82.24,1152,24.38,0.132
10,150,0.15,21,0.5,1ATR,2ATR,5,0.77,-100,82.24,1152,24.38,0.103
5,50,0.15,21,0.5,1ATR,2ATR,5,0.7,-100,85.87,1304,26.65,0.111
5,50,0.1,21,0.5,1ATR,2ATR,5,0.66,-100,85.87,1304,26.65,0.076
5,150,0.2,21,1,1ATR,2ATR,5,0.66,-100,83.27,1192,25.05,0.211
10,150,0.1,21,0.5,1ATR,2ATR,5,0.47,-100,82.25,1152,24.38,0.071
5,50,0.15,14,1,2ATR,2ATR,5,0.24,-100,80.58,1092,31.8,0.225
20,150,0.2,21,1,1ATR,2ATR,5,0.22,-100,81.71,1132,24.4,0.206
