ts,exchange,symbol,tf,o,h,l,c,v,qv,n,vwap
1759321380000,binance,BTCUSDT,1m,116750.14,116770.2,116716.5,116728.21,7.44185,868704.6178822,2579,116732.34718278387
1759321440000,binance,BTCUSDT,1m,116728.21,116728.22,116679.42,116707.5,5.08318,593170.9710559,1866,116692.89127197936
1759321500000,binance,BTCUSDT,1m,116707.5,116767,116707.49,116767,5.129,598757.3356994,1581,116739.58582558006
1759321560000,binance,BTCUSDT,1m,116767,116779,116724,116724,3.46157,404162.3587083,2276,116756.9509524002
1759321620000,binance,BTCUSDT,1m,116724,116724.01,116679.17,116707.5,7.63049,890518.3969563,2920,116705.27016696175
1759321680000,binance,BTCUSDT,1m,116707.49,116707.5,116672.98,116672.99,7.76752,906370.2969451,1347,116687.21766343697
1759321740000,binance,BTCUSDT,1m,116672.98,116689.56,116633.02,116633.02,10.4581,1220184.3790694,1783,116673.61940212849
1759321800000,binance,BTCUSDT,1m,116633.03,116652.01,116586.89,116610.01,7.43538,867104.0063037,2784,116618.65382854675
1759321860000,binance,BTCUSDT,1m,116610.01,116610.01,116568.14,116568.14,12.90254,1504262.5197255,2220,116586.54185342575
1759321920000,binance,BTCUSDT,1m,116568.14,116568.15,116541.4,116568.15,4.68302,545845.0796314,1344,116558.34902080281
1759321980000,binance,BTCUSDT,1m,116568.14,116590.43,116531.97,116547.13,33.98989,3962156.9042395,2832,116568.6886376949
1759322040000,binance,BTCUSDT,1m,116547.12,116559.35,116547.12,116559.35,3.5879,418187.0871353,469,116554.83350575545
1759322100000,binance,BTCUSDT,1m,116559.34,116559.35,116546.13,116546.14,3.96331,461949.8112203,488,116556.5679243612
1759322160000,binance,BTCUSDT,1m,116546.14,116546.14,116533.94,116533.95,3.05341,355829.4609708,571,116535.10696919182
1759322220000,binance,BTCUSDT,1m,116533.95,116533.96,116491.51,116491.51,19.56086,2279154.3754555,1969,116516.06194489915
1759322280000,binance,BTCUSDT,1m,116491.51,116529.24,116464.46,116464.47,10.58949,1233608.4676635,3056,116493.66189150752
1759322340000,binance,BTCUSDT,1m,116464.47,116565.01,116463,116565,21.78272,2537867.7959248,3461,116508.30547905862
1759322400000,binance,BTCUSDT,1m,116565,116636,116565,116599.91,28.96769,3378032.5965094,4535,116613.80650336288
1759322460000,binance,BTCUSDT,1m,116599.9,116623.74,116558.89,116558.89,7.93904,925621.9146107,2528,116591.16399598692
1759322520000,binance,BTCUSDT,1m,116558.9,116558.9,116493.51,116493.52,11.32925,1320061.251051,2166,116517.9734802392
1759322580000,binance,BTCUSDT,1m,116493.51,116493.52,116450.78,116463.51,12.23199,1424684.7877134,2559,116472.0366607069
1759322640000,binance,BTCUSDT,1m,116463.51,116478.66,116453.18,116453.18,5.76267,671168.0118784,949,116468.236404028
1759322700000,binance,BTCUSDT,1m,116453.18,116476.69,116440.75,116468,7.43808,866216.3730262,3604,116456.98527391478
1759322760000,binance,BTCUSDT,1m,116468,116468,116467.99,116467.99,2.28867,266556.8019189,215,116467.99316585614
1759322820000,binance,BTCUSDT,1m,116467.99,116499.99,116467.99,116480,8.62602,1004788.7006219,2374,116483.46521592808
1759322880000,binance,BTCUSDT,1m,116480.01,116499.37,116480,116499.37,1.90694,222132.6018287,811,116486.413745949
1759322940000,binance,BTCUSDT,1m,116499.36,116548.34,116470,116470.15,17.27269,2012368.3019609,2862,116505.78467864009
1759323000000,binance,BTCUSDT,1m,116470.16,116511.61,116470.15,116473.85,7.17166,835372.2417481,2588,116482.41017394858
1759323060000,binance,BTCUSDT,1m,116473.84,116473.85,116427.74,116427.74,18.58797,2164662.3290269,1810,116455.01520751865
1759323120000,binance,BTCUSDT,1m,116427.75,116427.75,116379.82,116417.62,26.77327,3116577.558412,3206,116406.30966676839
1759323180000,binance,BTCUSDT,1m,116417.62,116417.63,116379.57,116383.54,12.37418,1440308.8092516,1471,116396.30337134257
1759323240000,binance,BTCUSDT,1m,116383.55,116383.55,116363.38,116363.39,5.08466,591752.4119082,867,116379.93728355484
1759323300000,binance,BTCUSDT,1m,116363.38,116405.93,116363.38,116405.93,7.25719,844590.2765441,1592,116379.79390702187
1759323360000,binance,BTCUSDT,1m,116405.92,116420.14,116405.92,116420.13,5.99246,697572.1753864,804,116408.31568110592
1759323420000,binance,BTCUSDT,1m,116420.13,116420.14,116402.69,116412.3,5.2813,614794.3893756,941,116409.66984939315
1759323480000,binance,BTCUSDT,1m,116412.3,116412.31,116370.36,116370.37,15.58151,1813525.2488562,1889,116389.57000035298
1759323540000,binance,BTCUSDT,1m,116370.37,116402.66,116370.36,116402.65,6.90141,803198.607056,1187,116381.81285505426
